Comedian,Punchline,Updated By
vadivel,Aahaan?,Aravind
vadivel,Naanga adi vangatha area-ve kedayathu,Aravind
vadivel,Sothulayum adi vaangiyachu sethulayum adi vaangiyachu,Aravind
vadivel,vaaya moodra korangu,Aravind
vadivel,Why blood? same blood.,Aravind
vadivel,Pesikittu iruken mama!,Aravind
vadivel,Building strong-uh basement weak-uh,Aravind
vadivel,"Feeling ah? enna, ena feeling-uh?",Aravind
vadivel,Maapla? maapu? vechutan da aapu!,Aravind
vadivel,Singgg in the rain.. I am sing in the rain,Aravind
vadivel,Risk edukarthulaam enaku rusk sapdra mathri!,Aravind
vadivel,Hello!Dubai ah? Ennudaiyya brother mark irukara?,Aravind
vadivel,Vena valikuthu.. ALuthuruven!,Aravind
vadivel,Enna Vechee Comedy Geemedy Pannalaye,Sanjana
vadivel,Venam valikudhu aludhiduven,Sanjana
vadivel,Vada Poche,Sanjana
vadivel,Naa appidya shock ayiten,Aravind
vadivel,Avana nee...,Rajarajeswari 
vadivel,Vaa Suruthii polam...,Rajarajeswari 
vadivel,Manda bathiram...,Rajarajeswari 
vadivel,Naa apidiye shock aaiyten....,Rajarajeswari 
vadivel,Anniyae pudunga vaenam..,Rajarajeswari 
vadivel,Babu... Snake babu....,Rajarajeswari 
vadivel,"Athu pona maasam , naan sonnathu intha maasam.",Rajarajeswari 
vadivel,Indha rangalathalayum unakku oru kilukiluppu kekkudhuu...,Rajarajeswari 
vadivel,"Naan jailuku poren, jailuku poren.. naanum rowdy thaan...",Rajarajeswari 
vadivel,Ennama anga Satham ! Pesikittu iruken mama ...,Rajarajeswari 
vadivel,Oh ithu Thaan azhagula mayangaratha …?,Rajarajeswari 
vadivel,Be Careful…….. enna sonnen...,Rajarajeswari 
vadivel,Vita kirukan aaikurvanga pola iruku! :,Rajarajeswari 
vadivel,Dei solamutha pocha,Rajarajeswari 
vadivel,"aahaa! onnu kooditangayya, onnu kooditangayya",Aravind
santhanam,Venam Bro! Aduthavan autoku ayudha pooja pananum nenaikuradhu thappu bro,Aravind
santhanam,Aduthavan patta potta edathula ivan kotta podanum pakuranae..,Aravind
santhanam,Vera vela irrutha paaruya,Aravind
santhanam,Vittukkodutha kattuppada mattanda indha vettupuli,Aravind
santhanam,Urukkulla patthu padhinanji friends vechirukkavan ellam santhoshama irrukan,Aravind
santhanam,Avlo periya comedy illa idhu,Aravind
santhanam,Dei ennaku murder pandradhellam powder adikkara madhiri,Aravind
santhanam,Na nalla panreno illayo nee nalla panrada,Aravind
santhanam,Nanbenda,Aravind
santhanam,Nee enna avlo periya appatakara ah nee,Aravind
santhanam,Factuu...factuu..factuu,Aravind
santhanam,yenna kelachitaarama,Aravind
santhanam,asinga pattan autokaaren,Aravind
santhanam,Cooling Glass Ah Kalattuda,Sanjana
santhanam,Indha Kucchi Ice Vaikkaporukkulla Olinjikittu Yaarkooda Iceboy Vilaiyaduran,Sanjana
santhanam,Kanadiya kazhatura modala!,rajarajeswari 
santhanam,Nee ellam nalla varuvada!,rajarajeswari 
santhanam,I think she is speaking British English!,Rajarajeswari 
santhanam,Solra entha signal la maatna,Aravind
vivek,"Neenga verum Das ah,illa lord Labakku das ah?",Rajarajeswari 
vivek,Take Diversion,Rajarajeswari 
soori,"Paangu, oru thadava naa english la thitikava",Rajarajeswari 
vivek,Eppdi Irundha Naan…. Ippdi Aiyten!!,Rajarajeswari 
vivek,Yelee... Don't worry be happy...,Rajarajeswari 
vivek,Enaku Commissioner ah theriyum!.... Anaa avaruku enna theriyadhu..,Rajarajeswari 
vivek,Yarrum illadha kadai ku tea athura un kadamai unachirulu aalave illaya da,Aravind
vivek,Sadha kaka ku sonna ainda kakavuku kovam varuthu parru,Aravind
vivek,Evan start panna mattan pannitan nirutha mattan,Aravind
vivek,Innaki setha nallaki paalu,Aravind
vivek ,Naan Eppa appadi sonnen,Aravind
vivek ,Appane Murugaa,Aravind
vivek ,Azhakkoodathu Nee yen Azhara,Aravind
vivek,Hyderabad Unnuthu Secunderabad ennuthu,Aravind
vivek,Eppavume Withoutnnaa,Aravind
vivek,Ivanunga mougara kattaiya paathakka avalavu nallavanga maadhiri theriyaliye,Aravind
vivek,Oru Homathukku poren,Aravind
vivek,Oho ivar nammakitta matter ethir paakkuraar pola,Aravind
goundamani,Narayanaa.. indha kosu tholla thanga mudiyala da,Aravind
goundamani,Arasial la ethellam sathatanamappa,Aravind
goundamani,Good Morning Oppicer!,Aravind
goundamani,take the tonty five roobees!!!,Aravind
goundamani,Adengappaa ithu ulaga nadipu da saami,Aravind
goundamani,Adhu eppadi da enna pathu andha kelvi kekalam??,Aravind
goundamani,Deii.. idhukku than da oorukkula oru aal in aal alagu raja venum ngradu,Aravind
goundamani,Policekar policekar enaku onnum theriyadhu policekar,Aravind
goundamani,petromas light-ey than venuma intha theepanddam ellam koluthikka koodatha?,Aravind
goundamani,poda dapa thalaya,Aravind
goundamani,deii pannike porentha naaye..,Aravind
goundamani,adra sake.. adra sake..adra sake,Aravind
goundamani,ithu ulaga maga nadipuda saami,Aravind
goundamani,indha kosu tholla thanga mudiyala da narayana,Aravind
goundamani,Budhi solraraama ,Aravind
goundamani,Tea pocha endhrichi po naaye,Aravind
goundamani,sangoodhara vayasula sangeethaa,Aravind
goundamani,hey remove the cap.. remove the cooling glass vaa dee parthasarathy,Aravind
goundamani,Sooriyana yarrum sudamudiyadhu sir. sooriya veppam dan nammala sudum,Aravind
goundamani,Paper roast thinna.. liver ku romba nalladhu,Aravind
goundamani,Bettermax light ah dhan venuma?,Sanjana
goundamani,Kazhudha meikira paiyanukku ivlo arivaanu ellarukkum poraama da,Aravind
goundamani,"Dei thagappa, ithu nyayamma!",Aravind
goundamani,Indiavulayae..aen namma world layae.. car vechirukka karagaatta ghostinnaa athu namma ghosti daan!,Aravind
goundamani,Podhum da oattunadhu..Reel andhupochu!,Aravind
goundamani,Ivlo amali thumali inga nadanthukittirukku.. dummy ah ukkaanthu oruthan mixture saptu irrukan,Aravind
goundamani,"Adei, nee yaarunu ennaku theriyum, na yaarunu unaku theriyum,namma rendu perum yaarungradhu idhan oorukey theriyum",Aravind
goundamani,"Thambi,naa unna enna vaangitu vara sonnen?",Aravind
goundamani,"Naangalavadhu onga kitta sollitu vandhom, but,nee",Aravind
goundamani,"Inga chandru nu oru maanasthan irrudhaan, avana thedunen!",Aravind
senthil,Appuram Boss Enakku Rendu Maasa Sambalam Bakki Irukku,Aravind
senthil,Beautiful Wonderful Marvelous,Aravind
senthil,Boss Enga Poringa,Aravind
senthil,Complete New Method,Aravind
senthil,Enna Idhu Idaiyila Pooran Urudhu,Aravind
senthil,Nari Oruvaatti Ulaiyidumma,Aravind
senthil,Pora Usuru Pasilaye Pogattum,Aravind
senthil,Patthu Paisa Kanama Poche,Aravind
senthil,Sodhanai Mel Sodhanai Podhumada Sami,Aravind
senthil,Un Veetla Kirukku Subbiah Ponnedukkama Gorbachev Ah Ponneduppar,Aravind
senthil,Kasu Tharala Kaadha Kadichikittu Vandhutten,Aravind
senthil,Happy Indru Mudhal Happy,Aravind
senthil,Mama Kanji Pona Boomiyellam Vathatha Nadhikalai Parthu Aarudhal Adaiyum Andha Nadhiye Vatthi Poyitta,Aravind
senthil,Annakkili Unna Theduthu,Aravind
senthil,Photo Va Nan Parthadhe Illaiye,Aravind
senthil,Adho Superviser Subramanian Varugirar,Aravind
senthil,Appo Nanga Manam Kettu Road La Alaiyanuma,Aravind
senthil,Dey Mosakkara,Aravind
senthil,Interview Ku Time Ayiruchi,Aravind
senthil,Ayyo Ayyo,Aravind
manobala,Van Pakkaadha Thuppakkiya Illa Avan Pakkadha Vedigunda,Aravind
manobala,Idhaithanayya Moonu Naala Sollittu Irukken,Aravind
manobala,Sir!!,Aravind
manobala,Thambi Konjam Vaya Thira,Aravind
manobala,Chinna Left Right La Eppadi Emathinen Parthiya,Aravind
manobala,Saraya Matterla Nammala Kavuthathu Ivanthan,Aravind
manobala,Un Pechilaye Un Tholvi Bayam Theriyudhu,Aravind
manobala,Neeyaa,Aravind
manobala,En Sivajikitta Irudhu Edhuvume Kathukkalaiya Nee,Aravind
manobala,Everybody Na Ennayya,Aravind
manobala,Suttuttiya,Aravind
manobala,Ennathu Examaa,Aravind
manobala,Aaaa,Aravind
manobala,Kaali Suli Holy,Aravind
manobala,Holyaa Athu Maaruvaadi Pandigai Illa,Aravind
manobala,Pachak Pachak Pachak,Aravind
manobala,Peyai Konjam Pathama Pakkuvama Kupidunga Saami,Aravind
manobala,Ethu Nadanthalum Thairiyatha Kai Vittudaathinga,Aravind
manobala,Azhaitheergalaa Mannaa,Aravind
manobala,Naan Thaan Seithen Mannaa,Aravind
manobala,Enge Kodungal,Aravind
manobala,Ellam Sariyaaga Thaan Manna Ullathu Aanaal Ottuvatharku Thaan Neram Koodi Varavillai,Aravind
manobala,Naan Enge Vanthen Ennai Aayutha Oozhalukkaaga Alekkaaga Thookki Vanthu Kattivaithu Vaayileye Mithikkiraargal Manna,Aravind
manobala,Naan Seitha Sangiligalaaleye Ungalai Kattivaithu Ungal Uyirai Sooraiyaadapogiraargale Athai Ninaithaal Thaan Varuthamaaga Irukkirathu,Aravind
manobala,Idhaiyum Naan Than Seithen Manna,Aravind
yogibabu,Enkitta Irundhu Dhan Na Arambichan,Aravind
yogibabu,Sir Actually,Aravind
yogibabu,U Want Chicken,Aravind
yogibabu,1000 Roova Bill Vanthirukku,Aravind
yogibabu,Ellam Uusi Pottukittu Dhan Doctor Kitta Varuvanga,Aravind
yogibabu,Enga Venaalum Adinga Daa Facela Adikkaathinga,Aravind
yogibabu,Ivanungala Engayo Paaththa Maathiri Irukke,Aravind
yogibabu,Boss Vanakkam,Aravind
yogibabu,Annavaa,Aravind
yogibabu,Wow,Aravind
yogibabu,En Moonjiya Paaththa Settu Maathiriyaa Irukku,Aravind